 dim,batch_count,sec_per_dgemm,
            2 ,            1 ,   7.0000002E-05 ,
            4 ,            1 ,   1.8999999E-05 ,
            8 ,            1 ,   1.8000001E-05 ,
           16 ,            1 ,   1.9999999E-05 ,
           32 ,            1 ,   2.8000000E-05 ,
            2 ,            2 ,   1.1000000E-05 ,
            4 ,            2 ,   9.9999997E-06 ,
            8 ,            2 ,   9.9999997E-06 ,
           16 ,            2 ,   1.0500000E-05 ,
           32 ,            2 ,   1.2500000E-05 ,
            2 ,            4 ,   8.2500001E-06 ,
            4 ,            4 ,   7.2500002E-06 ,
            8 ,            4 ,   7.4999998E-06 ,
           16 ,            4 ,   7.7499999E-06 ,
           32 ,            4 ,   8.2500001E-06 ,
            2 ,            8 ,   5.3750000E-06 ,
            4 ,            8 ,   5.3750000E-06 ,
            8 ,            8 ,   5.8750002E-06 ,
           16 ,            8 ,   6.0000002E-06 ,
           32 ,            8 ,   7.6249999E-06 ,
            2 ,           16 ,   5.5625001E-06 ,
            4 ,           16 ,   5.1874999E-06 ,
            8 ,           16 ,   5.1249999E-06 ,
           16 ,           16 ,   4.9999999E-06 ,
           32 ,           16 ,   5.7500001E-06 ,
            2 ,           32 ,   4.4375001E-06 ,
            4 ,           32 ,   5.1249999E-06 ,
            8 ,           32 ,   4.5625002E-06 ,
           16 ,           32 ,   5.0312501E-06 ,
           32 ,           32 ,   5.6875001E-06 ,
            2 ,           64 ,   4.2187498E-06 ,
            4 ,           64 ,   4.7343751E-06 ,
            8 ,           64 ,   4.3750001E-06 ,
           16 ,           64 ,   4.3750001E-06 ,
           32 ,           64 ,   4.9999999E-06 ,
            2 ,          128 ,   4.3515624E-06 ,
            4 ,          128 ,   4.5625002E-06 ,
            8 ,          128 ,   4.2812499E-06 ,
           16 ,          128 ,   4.3515624E-06 ,
           32 ,          128 ,   5.3203125E-06 ,
            2 ,          256 ,   4.1210938E-06 ,
            4 ,          256 ,   4.1171875E-06 ,
            8 ,          256 ,   4.3085938E-06 ,
           16 ,          256 ,   4.2382812E-06 ,
           32 ,          256 ,   4.9765626E-06 ,
            2 ,          512 ,   4.0000000E-06 ,
            4 ,          512 ,   4.1406252E-06 ,
            8 ,          512 ,   4.1777344E-06 ,
           16 ,          512 ,   4.1640624E-06 ,
           32 ,          512 ,   4.9765626E-06 ,
            2 ,         1024 ,   4.0078125E-06 ,
            4 ,         1024 ,   4.1552735E-06 ,
            8 ,         1024 ,   4.2216798E-06 ,
           16 ,         1024 ,   4.2783204E-06 ,
           32 ,         1024 ,   5.1494139E-06 ,
            2 ,         2048 ,   3.9858401E-06 ,
            4 ,         2048 ,   4.1186522E-06 ,
            8 ,         2048 ,   4.2133788E-06 ,
           16 ,         2048 ,   4.1250000E-06 ,
           32 ,         2048 ,   5.0805666E-06 ,
            2 ,         4096 ,   3.9572756E-06 ,
            4 ,         4096 ,   4.1025392E-06 ,
            8 ,         4096 ,   4.1098633E-06 ,
           16 ,         4096 ,   4.3220216E-06 ,
           32 ,         4096 ,   4.9121095E-06 ,
            2 ,         8192 ,   3.9482420E-06 ,
            4 ,         8192 ,   3.9940187E-06 ,
            8 ,         8192 ,   4.1491699E-06 ,
           16 ,         8192 ,   4.2429201E-06 ,
           32 ,         8192 ,   5.3878175E-06 ,
            2 ,        16384 ,   4.0964355E-06 ,
            4 ,        16384 ,   4.1709595E-06 ,
            8 ,        16384 ,   4.2640991E-06 ,
           16 ,        16384 ,   4.2427368E-06 ,
           32 ,        16384 ,   4.8742677E-06 ,
            2 ,        32768 ,   4.0330201E-06 ,
            4 ,        32768 ,   4.2100828E-06 ,
            8 ,        32768 ,   4.2734068E-06 ,
           16 ,        32768 ,   4.5336915E-06 ,
           32 ,        32768 ,   4.8581542E-06 ,
